Data de publicação;Afirmação checada;Organização;Tipo de informação;Tema;Objeto;Formato;Origem;Fonte
02/01/2020;Como prevenir o coronavírus: beba chá de erva-doce duas vezes por dia. O chá de erva-doce tem o mesmo componente do medicamento Tamiflu, usado no tratamento do H1N1;Agência Lupa;Curas;Outros;Cura;Texto;Redes sociais;Facebook
04/01/2020;Vídeo supostamente gravado em 31 de março em que um homem mostra centro de distribuição de alimentos em Contagem (MG) e alega escassez de alimentos em Minas Gerais causada por medidas de isolamento social. Vídeo foi tuitado por Jair Bolsonaro, que mais tarde o excluiu.;Agência Lupa;Outros;Outros;Isolamento Social;Vídeo;Redes sociais;Jair Bolsonaro, president of Brazil (Twiter)
24/01/2020;Coronavírus pode ter se espalhado devido ao consumo de sopa de morcegos, afirmam cientistas;Aos Fatos;Causas;Outros;Indefinido;Texto;Meios de comunicação;Daily Mail, The Sun, jornal Extra
24/01/2020;Eles criam doenças para oferecer vacinas. Já existe uma patente para um coronavírus atenuado.;Agência Lupa;Teoria da conspiração;Saúde;Vacinas;Texto, imagem;Redes sociais;Facebook
26/01/2020;O diretor de um grande hospital de São Paulo, Brasil, recomendou beber chá de erva-doce e comer fígado de boi como forma de prevenção à COVID-19.;Estadão Verifica;Curas;Outros;Indefinido;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
26/01/2020;Coronavírus tem 10 mil casos confirmados Brasil e 28 milhões no mundo #boato;Boatos.org;;Saúde;Situação da Pandemia;Vídeo;Web;
27/01/2020;"Coronavírus na China: mais de 30 milhões em quarentena, 2,8 milhões infectados; 112.000 mortos! Pessoas caindo nas ruas e trens! Supermercados sem comida!";Agência Lupa;Contágio;Saúde;Situação da Pandemia;Texto;Redes sociais;Facebook
28/01/2020;Vídeo mostra animais mortos, como cães, ratos, morcegos e cobras, sendo vendidos em um mercado em Wuhan.;Estadão Verifica;Causas;Outros;Indefinido;Vídeo;YouTube;YouTube
28/01/2020;Pessoa infectada com coronavírus mordeu a jugular de um médico.;Estadão Verifica;Outros;Outros;Indefinido;Imagem;Redes sociais;Facebook
29/01/2020;Médicos recomendam vitamina C e chá de erva-doce para ajudar a evitar o novo coronavírus;Aos Fatos;Curas;Saúde;Contágio;Texto;Redes Sociais, WhatsApp;Facebook, WhatsApp
29/01/2020;OMS aconselha a população a evitar relações sexuais desprotegidas com animais;Aos Fatos;Outros;Saúde;Contágio;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
29/01/2020;Vitamina C com zinco previne e trata a infecção por coronavírus;Aos Fatos;Curas;Outros;Cura;Áudio, Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
29/01/2020;Empresa chinesa Ruilan Bao Hu San Biotech Limited é a origem do novo coronavírus. Seu logotipo lembra a Umbrella Corporation, do videogame Resident Evil.;Agência Lupa;Teoria da conspiração;Outros;Indefinido;Imagem;Redes sociais;Facebook
29/01/2020;Bolsonaro pode cancelar o carnaval no Brasil por causa do coronavírus #boato;Boatos.org;;Política;Indefinido;Texto;Whatsapp;
30/01/2020;Notificação de emergência do Departamento de Saúde do Canadá recomenda que pessoas mantenham a garganta úmida para se proteger do novo coronavírus;Aos Fatos;Curas;Saúde;Contágio;Texto;WhatsApp, Redes Sociais;Facebook, WhatsApp
30/01/2020;Foto de várias pessoas caídas no chão no meio da rua, supostamente na China;Agência Lupa;Contágio;Outros;Indefinido;Imagem;Redes sociais;Facebook
30/01/2020;Vídeo do mercado de Wuhan, cidade chinesa onde o novo coronavírus começou a se espalhar.;Agência Lupa;Causas;Outros;Contágio;Vídeo;YouTube, Redes sociais, WhatsApp;Facebook, WhatsApp, YouTube
30/01/2020;Jornalista alemão filma pessoas caídas nas ruas na China e diz, em áudio, que milhares morreram por causa do coronavírus #boato;Boatos.org;;Outros;Mprtes;Áudio, Imagem;Whatsapp;
30/01/2020;Vídeo mostra feira de comida com animais vivos em Wuhan (China) #boato;Boatos.org;;Outros;Indefinido;Vídeo;Redes Sociais;
31/01/2020;Chá de erva-doce é uma cura contra o novo coronavírus.;AFP;Curas;Outros;Cura;Texto;Redes sociais;Facebook
03/02/2020;É #FAKE texto que manda beber água quente para evitar coronavírus;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;Whatsapp
04/02/2020;Vídeo mostra caminhões no Brasil descartando alimentos perdidos devido ao isolamento social;Aos Fatos;Outros;Outros ;Isolamento Social;Vídeo;Redes sociais, WhatsApp;Facebook, WhatsApp
05/02/2020;Médicos confirmam que o novo coronavírus pode chegar ao Brasil por meio de pacotes do AliExpress.;Agência Lupa;Contágio;Transporte;Contágio;Texto;Redes sociais;Facebook
05/02/2020;Caso do novo coronavírus foi registrado em hospital no Maranhão, Brasil.;Agência Lupa;Contágio;Outros;Indefinido;Texto;Veículo de comunicação;Blogger
05/02/2020;Cientistas descobrem que cocaína mata o coronavírus #boato;Boatos.org;;Ciência;Cura;Imagem;Redes Sociais;
06/02/2020;Pesquisas mostram que partes do código genético do HIV foram inseridas no novo coronavírus.;Agência Lupa;Teoria da conspiração;Ciência;Indefinido;Texto;Redes sociais;Facebook
06/02/2020;Desinfetante Lysol cura o novo coronavírus e é a prova que a doença já era conhecida #boato;Boatos.org;;Outros;Cura;Imagem, Vídeo;Web;
06/02/2020;Homem da China come sopa de feto, mostram fotos #boato;Boatos.org;;Outros;Indefinido;Imagem;Web;
07/02/2020;É #FAKE que produtos importados da China podem conter coronavírus;Fato ou Fake;;Economia;Indefinido;Texto;Redes Sociais;
07/02/2020;Uísque e mel ajudam a combater o novo coronavírus #boato;Boatos.org;;Outros;Cura;Vídeo;Web;
10/02/2020;Chá de folhas de abacate com hortelã cura e previne o coronavírus #boato;Boatos.org;;Saúde;Cura;Vídeo;Redes Sociais;
11/02/2020;Plástico bolha pode transmitir coronavírus porque o ar vem da China #boato;Boatos.org;;Outros;Contágio;Texto;Redes Sociais;Whatsapp
13/02/2020;Imagens de satélite mostram aumento nas emissões de SO2 em torno de Wuhan.;Agência Lupa;Outros;Meio Ambiente;Indefinido;Texto, Imagem;Meio de comunicação;Website
14/02/2020;China vende carne humana enlatada infectada com coronavírus #boato;Boatos.org;;Economia;Contágio;Imagem;Redes Sociais;
26/02/2020;É #FAKE que livro de 1981 previu o novo coronavírus;Fato ou Fake;;Cultura;Indefinido;Imagem, Texto;Redes Sociais;
26/02/2020;É #FAKE que vídeo mostre motorista preso pela SWAT na China por estar com coronavírus;Fato ou Fake;;Segurança;Indefinido;Vídeo;Whatsapp;
27/02/2020;"Álcool gel não mata o coronavírus e outras bactérias; o que mata é o vinagre #boato";Boatos.org;;Outros;Álcool em gel;Texto, Vídeo;Web;
27/02/2020;Livro The Eyes of Darkness, de Dean Koontz, previu o coronavírus em 1981 #boato;Boatos.org;;Cultura;Indefinido;Texto;Redes Sociais;
28/02/2020;É #FAKE que governo chinês busca aprovação para matar 20 mil pacientes com coronavírus;Fato ou Fake;;Política;Mortes;Texto;Redes Sociais;
28/02/2020;É #FAKE mensagem em vídeo que diz que álcool gel não funciona como forma de prevenção contra o coronavírus;Fato ou Fake;;Outros;Álcool em gel;Vídeo;Redes Sociais;
